"date","ride_count"
2023-01-01,3144
2023-01-02,3914
2023-01-03,3982
2023-01-04,5830
2023-01-05,5310
2023-01-06,5092
2023-01-07,4001
2023-01-08,3869
2023-01-09,6404
2023-01-10,7852
2023-01-11,8273
2023-01-12,7024
2023-01-13,5526
2023-01-14,4208
2023-01-15,4345
2023-01-16,3584
2023-01-17,7259
2023-01-18,6903
2023-01-19,5899
2023-01-20,6111
2023-01-21,4515
2023-01-22,2643
2023-01-23,5536
2023-01-24,6805
2023-01-25,3737
2023-01-26,4412
2023-01-27,3380
2023-01-28,2057
2023-01-29,1988
2023-01-30,3211
2023-01-31,3479
2023-02-01,4496
2023-02-02,5159
2023-02-03,2925
2023-02-04,3836
2023-02-05,4128
2023-02-06,5987
2023-02-07,6723
2023-02-08,6922
2023-02-09,3698
2023-02-10,5652
2023-02-11,5175
2023-02-12,5712
2023-02-13,7236
2023-02-14,7271
2023-02-15,6882
2023-02-16,2970
2023-02-17,3693
2023-02-18,4348
2023-02-19,5464
2023-02-20,6077
2023-02-21,6405
2023-02-22,2915
2023-02-23,6313
2023-02-24,5041
2023-02-25,4045
2023-02-26,5033
2023-02-27,5091
2023-02-28,8232
2023-03-01,9038
2023-03-02,7207
2023-03-03,5247
2023-03-04,5174
2023-03-05,5566
2023-03-06,6492
2023-03-07,7788
2023-03-08,7766
2023-03-09,6286
2023-03-10,4853
2023-03-11,5019
2023-03-12,3022
2023-03-13,4727
2023-03-14,6700
2023-03-15,7707
2023-03-16,6658
2023-03-17,5762
2023-03-18,2889
2023-03-19,3997
2023-03-20,7051
2023-03-21,8781
2023-03-22,7326
2023-03-23,6972
2023-03-24,6875
2023-03-25,3880
2023-03-26,4604
2023-03-27,7120
2023-03-28,8859
2023-03-29,7914
2023-03-30,8779
2023-03-31,6418
2023-04-01,4952
2023-04-02,6982
2023-04-03,7630
2023-04-04,7146
2023-04-05,7502
2023-04-06,9166
2023-04-07,7729
2023-04-08,8255
2023-04-09,7431
2023-04-10,11260
2023-04-11,14006
2023-04-12,14525
2023-04-13,14731
2023-04-14,13985
2023-04-15,13488
2023-04-16,4544
2023-04-17,5833
2023-04-18,11109
2023-04-19,10471
2023-04-20,11782
2023-04-21,11459
2023-04-22,6560
2023-04-23,5715
2023-04-24,9201
2023-04-25,8231
2023-04-26,10578
2023-04-27,12639
2023-04-28,10409
2023-04-29,7110
2023-04-30,4876
2023-05-01,5513
2023-05-02,9863
2023-05-03,11309
2023-05-04,13448
2023-05-05,14086
2023-05-06,10911
2023-05-07,11467
2023-05-08,7772
2023-05-09,13059
2023-05-10,14757
2023-05-11,15210
2023-05-12,8796
2023-05-13,9191
2023-05-14,6358
2023-05-15,11298
2023-05-16,14107
2023-05-17,12544
